arm,seed,mean_site_occupancy,trait_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
growth-nutrient-off,106,0.410173,-0.027142,0.142272,48,16,5227423234807352134
growth-nutrient-off,107,0.311584,-0.037097,0.087473,48,15,15783085441373764682
growth-nutrient-off,108,0.366364,-0.016821,0.106516,48,18,7281434944228500084
growth-nutrient-off,109,0.323601,0.036455,0.042724,48,20,9676828954802699448
growth-nutrient-off,110,0.346937,0.079868,0.131136,48,15,1622984961329036474
growth-nutrient-off,111,0.349477,-0.130509,0.185392,48,18,3706640188560430710
growth-nutrient-off,112,0.322235,0.014904,0.133120,48,16,8535044280194852151
growth-nutrient-off,113,0.332502,-0.082417,0.115148,48,16,13511367581577434941
growth-nutrient-off,114,0.333595,0.007948,0.112909,48,15,2048244170728345077
growth-nutrient-off,115,0.307661,-0.013004,0.088674,48,16,2494389019160010954
growth-nutrient-off,116,0.313368,-0.026014,0.093156,48,17,9905158854461846336
growth-nutrient-off,117,0.262044,-0.001660,0.008543,48,14,16576533586703121614
growth-nutrient-off,118,0.385663,-0.027630,0.163065,48,19,6856595381790712230
growth-nutrient-off,119,0.298171,-0.045783,0.104632,48,16,13332173051877003450
growth-nutrient-off,120,0.314363,-0.036720,0.071096,48,16,14245720218801180953
growth-nutrient-off,121,0.261828,-0.008210,0.054237,48,15,7288253125710198697
growth-nutrient-off,122,0.342633,0.008063,0.169958,48,18,11498243163001650203
growth-nutrient-off,123,0.278520,0.015455,0.035821,48,18,10747604339194245044
growth-nutrient-off,124,0.316843,0.003104,0.115420,48,20,7932519869269842974
growth-nutrient-off,125,0.341896,0.026108,0.127656,48,15,9183546804876381078
growth-nutrient-off,126,0.372135,-0.028166,0.141241,48,17,8960924820531155153
growth-nutrient-off,127,0.322401,0.023121,0.124484,48,16,14479786594046409502
growth-nutrient-off,128,0.311109,0.066193,0.125761,48,18,8474735161184566143
growth-nutrient-off,129,0.318132,0.137176,0.134431,48,17,14877013011868316913
growth-nutrient-off,130,0.339782,-0.043548,0.211578,48,17,7299379104634740321
growth-nutrient-off,131,0.325881,0.012089,0.114489,48,17,3309235869410381435
growth-nutrient-off,132,0.326700,0.013505,0.076498,48,13,5007730036620944412
growth-nutrient-off,133,0.269827,0.022591,0.061624,48,17,3430748836424139614
growth-nutrient-off,134,0.289683,-0.044015,0.082700,48,15,15888113922858229975
growth-nutrient-off,135,0.309553,-0.061929,0.100170,48,16,2258035264229673343
growth-nutrient-off,136,0.389676,-0.027030,0.154436,48,17,17822957712476274023
growth-nutrient-off,137,0.312695,-0.069143,0.055594,48,15,9780746662105859782
growth-nutrient-off,138,0.417887,0.059367,0.208355,48,19,17363636668653720751
growth-nutrient-off,139,0.335673,-0.002504,0.165628,48,16,7785509860911382191
growth-nutrient-off,140,0.344679,-0.016240,0.134381,48,17,370144518913175347
growth-nutrient-off,141,0.311235,0.035562,0.100300,48,15,17983387668894815715
growth-nutrient-off,142,0.421524,0.119964,0.130424,48,19,8867934973183836184
