+arm,seed,mean_occupancy,seedling_resilience_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
invader-168-off,105,0.298469,-0.034675,0.136734,48,16,18218542386063782945
invader-168-off,106,0.260871,-0.056272,0.097080,48,14,2854190936511207482
invader-168-off,107,0.266584,0.016422,0.046121,48,15,15667753687249698301
invader-168-off,108,0.278765,0.059235,0.147707,48,17,11399037774427532174
invader-168-off,109,0.295903,-0.047972,0.153431,48,16,15107691347226537601
invader-168-off,110,0.299701,-0.094694,0.099400,48,17,7056029515002358743
invader-168-off,111,0.288559,0.044964,0.101663,48,16,11627663861093887666
invader-168-off,112,0.293099,-0.014766,0.179101,48,18,544205912907649574
invader-168-off,113,0.238221,-0.049607,0.052180,48,16,8503703809208742556
invader-168-off,114,0.329779,-0.012330,0.081426,48,17,10900990488217820652
invader-168-off,115,0.261780,-0.039871,0.086875,48,15,9323253529544592796
invader-168-off,116,0.266077,-0.013992,0.081411,48,17,12441478760476211363
invader-168-off,117,0.264146,-0.043421,0.084574,48,16,18124183920617492054
invader-168-off,118,0.262787,-0.042249,0.150294,48,16,13349731852914974935
invader-168-off,119,0.295072,-0.023824,0.101394,48,15,14549660385840650921
invader-168-off,120,0.253162,0.009606,0.097989,48,17,3537102579205158285
invader-168-off,121,0.261372,0.026215,0.052777,48,15,10805928597395484313
invader-168-off,122,0.198098,0.029192,0.067073,48,13,8526923698164038458
invader-168-off,123,0.265342,0.015811,0.085109,48,16,18160831179542431870
invader-168-off,124,0.266353,0.062901,0.107077,48,14,4163487892223307512
invader-168-off,125,0.225053,-0.028629,0.096076,48,14,5051832794533852496
invader-168-off,126,0.316382,0.010453,0.137818,48,16,1599667118672325999
invader-168-off,127,0.247571,0.084884,0.117436,48,14,12161588469302254440
invader-168-off,128,0.240244,0.056460,0.083300,48,19,2855722895150207975
invader-168-off,129,0.314041,0.135914,0.155769,48,18,17305450063482398127
invader-168-off,130,0.277443,0.016543,0.059074,48,14,11940556542376950684
invader-168-off,131,0.242172,0.041195,0.073216,48,14,14067261330240843420
invader-168-off,132,0.236377,0.013380,0.048348,48,14,7820541539012296966
invader-168-off,133,0.271368,0.011315,0.078588,48,15,2870824151616183992
invader-168-off,134,0.245349,-0.005048,0.108659,48,14,695369258295727110
invader-168-off,135,0.257724,-0.005388,0.063792,48,15,7353868268799419802
invader-168-off,136,0.262351,-0.057722,0.174098,48,18,11628970049955863058
invader-168-off,137,0.247741,-0.048785,0.049759,48,14,12856713461678992167
invader-168-off,138,0.289289,-0.035627,0.106062,48,15,6954834469825041319
invader-168-off,139,0.243665,0.008944,0.083760,48,16,18201291143661382290
invader-168-off,140,0.276736,-0.034752,0.114822,48,17,2250354751252921414
invader-168-off,141,0.299707,0.035427,0.081693,48,17,1370238866050294208
invader-168-off,142,0.292934,-0.036152,0.061956,48,14,10402349615920724670
invader-168-off,143,0.317900,0.003823,0.166945,48,17,13035304428209755584
invader-168-off,144,0.285800,0.051065,0.255357,48,20,6568325732280822438
invader-168-off,145,0.295076,-0.002718,0.058123,48,15,50462709161182598
invader-168-off,146,0.261565,0.025644,0.050863,48,16,2653716090169354699
invader-168-off,147,0.281132,-0.058759,0.118171,48,15,7541512182231139187
invader-168-off,148,0.256725,0.007525,0.078878,48,14,398910122702589584
invader-168-off,149,0.224774,0.013469,0.054624,48,17,9835511041385335564
invader-168-off,150,0.279027,0.022343,0.144335,48,17,3756550962324694200
invader-168-off,151,0.287444,0.060285,0.134057,48,16,4401179323257672349
invader-168-off,152,0.253692,0.001473,0.038712,48,17,10331511817906246116
invader-168-off,153,0.265498,-0.015753,0.163732,48,18,2137677723410901598
invader-168-off,154,0.271157,0.043573,0.120713,48,15,3797430248101844336
invader-168-off,155,0.267036,0.044869,0.123007,48,17,14192627406955989151
invader-168-off,156,0.252467,0.026038,0.095088,48,17,1926951822491510373
invader-168-off,157,0.223738,0.007062,0.045958,48,14,2036482833796424135
invader-168-off,158,0.316644,-0.011743,0.239344,48,18,13082595752940265632
invader-168-off,159,0.237878,-0.045843,0.137820,48,16,7546616260196357920
invader-168-off,160,0.267456,-0.007687,0.073328,48,18,12656225501235605213
invader-168-off,161,0.271050,-0.092370,0.065035,48,17,14030514648797330779
invader-168-on,42,0.313407,0.023390,0.086975,48,15,186880824358197438
invader-168-on,43,0.269399,0.033952,0.191390,48,16,12385086525509024832
invader-168-on,44,0.259320,0.014538,0.113438,48,14,4507352296392157164
invader-168-on,45,0.275114,-0.024393,0.068039,48,15,9082725894766011026
invader-168-on,46,0.245610,-0.010518,0.098918,48,14,9460130231889347755
invader-168-on,47,0.275969,0.035858,0.109516,48,16,12366302447591772985
invader-168-on,48,0.278441,0.021747,0.092161,48,17,9771442995334768822
invader-168-on,49,0.241567,-0.037529,0.090113,48,14,1202442282010453498
