arm,seed,mean_site_occupancy,seed_production_rate_delta,dispersal_delta,final_population,highest_plant_generation,state_hash
abundant-on,45,0.298252,0.069660,0.124178,48,18,1057596893550578973
abundant-on,46,0.331893,-0.007312,0.191133,48,16,18401058277849320298
abundant-on,47,0.331178,0.050382,0.133791,48,19,15907385482034036596
abundant-on,48,0.305137,-0.118565,0.155358,48,16,2453632153149073306
abundant-on,49,0.346006,0.099111,0.243757,48,22,11954886088003651998
abundant-on,50,0.303557,0.004399,0.054600,48,18,6877363401489906729
abundant-on,51,0.350846,0.064476,0.179309,48,18,8513429665804308092
abundant-on,52,0.330395,0.006451,0.172868,48,16,1508968767792222578
abundant-on,53,0.282176,0.040841,0.120571,48,15,1654543821002398274
abundant-on,54,0.288848,0.011249,0.096668,48,18,18374643774234592590
abundant-on,55,0.362240,-0.036655,0.209531,48,16,18063663530926682732
abundant-on,56,0.273673,0.042831,0.173903,48,14,7344515642010162741
abundant-on,57,0.378179,0.032588,0.149123,48,18,4566041643506883730
abundant-on,58,0.378597,0.047157,0.126758,48,17,10299907657987814958
abundant-on,59,0.316185,0.011723,0.167298,48,19,8863670760207105844
abundant-on,60,0.285100,0.065469,0.019590,48,16,5669605768051725329
abundant-on,61,0.270780,0.044963,0.205138,48,20,11172645857810247004
abundant-on,62,0.300862,0.087142,0.108060,48,16,1938691892122738014
abundant-on,63,0.360127,-0.041587,0.180758,48,20,7656959595109904337
abundant-on,64,0.353673,-0.008020,0.114204,48,18,16225478216010923780
abundant-on,65,0.310953,0.023757,0.125162,48,18,15335021915740063064
abundant-on,66,0.281712,-0.102158,0.058629,48,16,14091423694700666032
abundant-on,67,0.336280,0.000600,0.099167,48,17,5822405341476181414
