seed,id,generation,parentId,birthTick,endTick,endReason,lifeTicks,eligibleTicks,births,meanBiomassFraction,growth,seedInvestment,waterEfficiency,nutrition,defense,dispersal,moistureTolerance,temperatureTolerance,nutrientUptake
42,112,13,108,9160,9240,takenOver,80,0,0,0.0817,0.46958,0.59749,0.44498,0.62027,0.18061,0.55578,0.47390,0.64394,0.46967
42,110,11,101,9180,11100,aged,1920,44,3,0.9449,0.54794,0.38715,0.52938,0.67153,0.38663,0.44283,0.49824,0.50887,0.60213
42,112,11,99,9240,10980,aged,1740,61,2,0.9261,0.64158,0.50497,0.51320,0.64105,0.45207,0.47863,0.60775,0.54755,0.59896
42,111,12,97,9260,11220,aged,1960,73,1,0.9434,0.47245,0.56657,0.47012,0.62701,0.16516,0.61534,0.47369,0.62823,0.41806
42,113,10,96,9280,9340,takenOver,60,0,0,0.0946,0.38804,0.51412,0.41065,0.62093,0.19344,0.53698,0.39605,0.65161,0.55517
42,114,13,107,9300,11460,aged,2160,60,1,0.9243,0.39736,0.42803,0.59225,0.57429,0.27168,0.47592,0.44683,0.35367,0.50019
42,113,12,110,9340,11200,aged,1860,67,1,0.9455,0.56863,0.40876,0.50064,0.69118,0.42399,0.44253,0.49031,0.49413,0.57900
42,115,12,102,9440,11580,aged,2140,59,1,0.9293,0.41009,0.67685,0.42342,0.65468,0.20051,0.53386,0.33657,0.62993,0.39011
42,116,12,103,9460,11680,aged,2220,30,4,0.8956,0.34919,0.65127,0.40346,0.56639,0.36647,0.70051,0.57501,0.36340,0.51178
42,117,13,115,9740,11840,aged,2100,77,1,0.9344,0.43667,0.74495,0.41758,0.61365,0.23087,0.50234,0.30857,0.65456,0.42985
42,118,12,109,9760,11980,aged,2220,65,2,0.9008,0.35287,0.52076,0.44785,0.59409,0.31301,0.74509,0.64762,0.36376,0.44886
42,119,12,97,9780,9800,takenOver,20,0,0,0.0672,0.52098,0.53535,0.45794,0.57501,0.23108,0.63047,0.50838,0.66952,0.36600
42,119,13,116,9800,12000,alive,2200,42,3,0.9203,0.28290,0.66808,0.42748,0.53510,0.37319,0.71612,0.62227,0.39437,0.50518
42,120,13,107,10160,10200,takenOver,40,0,0,0.1452,0.41824,0.42986,0.56639,0.57895,0.24333,0.49523,0.41314,0.32654,0.45355
42,120,10,104,10200,12000,alive,1800,43,1,0.8615,0.32376,0.53619,0.43924,0.66241,0.17046,0.56999,0.36749,0.64526,0.64968
42,121,12,110,10240,10280,takenOver,40,0,0,0.1411,0.47938,0.40975,0.53910,0.71420,0.34663,0.46167,0.49126,0.49475,0.62317
42,121,13,106,10280,12000,alive,1720,38,2,0.8494,0.50579,0.60322,0.42932,0.66115,0.28319,0.65128,0.43059,0.63548,0.42593
42,122,11,101,10320,12000,alive,1680,57,1,0.9269,0.52740,0.38318,0.54048,0.69687,0.36342,0.51554,0.55713,0.47132,0.54992
42,123,13,116,10420,10440,takenOver,20,0,0,0.0698,0.36043,0.62096,0.44601,0.59016,0.39536,0.67934,0.59360,0.36164,0.50350
42,123,13,111,10440,12000,alive,1560,38,2,0.9184,0.47536,0.60267,0.47996,0.63978,0.14652,0.62446,0.47780,0.60329,0.51306
