arm,seed,hash,final_population,births,deaths,food_consumed,water_consumed,plant_count_final,activations,deactivations,distinct_sites_ever_active,mean_active_food_sites,first_turnover_tick,site_entries,same_site_fraction,cross_kind_legs,pair_repeat_fraction,mean_distinct_pairs,pair_changed_fraction,food_to_water,water_to_food,mean_distinct_sites,mean_speed
shifting,45,4963484941996006476,40,57,21,578.530579,147.312500,12,36,30,18,12.474333,19,1270,0.466142,479,0.540710,2.737705,0.901639,241,238,4.344262,1.637063
shifting-mature,45,7360462466721038780,40,69,33,696.270508,195.812500,12,36,30,18,12.431000,19,1592,0.487437,594,0.557239,2.753425,0.835616,297,297,4.178082,1.671317
shifting-8founders,45,3300462147459233864,36,75,47,647.276550,255.000000,2,23,27,18,9.512667,19,1733,0.543566,652,0.673313,2.228916,0.734940,352,300,3.433735,1.732544
frozen,46,14152508610510831448,0,0,4,75.360703,16.562500,18,12,0,18,17.385333,19,257,0.731518,59,0.728814,2.500000,0.750000,28,31,3.500000,2.091982
shifting,46,9069145082139090238,0,0,4,76.006599,16.250000,12,37,31,18,12.707667,19,239,0.698745,60,0.700000,3.250000,0.750000,28,32,4.500000,2.047940
shifting-mature,46,14603393722220448615,40,79,43,922.731812,241.000000,8,31,29,18,11.297000,19,2070,0.607729,624,0.625000,2.265060,0.650602,326,298,3.614458,1.601360
shifting-8founders,46,9508587423100842393,17,49,40,597.087402,188.187500,5,27,28,18,10.186500,19,1531,0.577400,495,0.573737,3.052632,0.877193,254,241,4.596491,1.671218
frozen,47,2501014503334485246,40,44,8,1084.088623,269.312500,18,12,0,18,17.425333,19,2058,0.512634,750,0.628000,3.229167,0.937500,377,373,4.437500,1.942469
shifting,47,14915073444858262049,26,54,32,829.079468,258.812500,8,32,30,18,11.773667,19,1772,0.499436,683,0.568082,3.275862,0.758621,347,336,4.672414,1.811113
shifting-mature,47,7156962437237147941,40,59,23,907.062805,268.312500,6,30,30,18,11.340000,19,1912,0.480649,765,0.581699,3.587302,0.746032,397,368,5.365079,1.844828
shifting-8founders,47,1603442039346019211,0,53,61,585.775757,259.937500,3,24,27,18,9.556167,19,1641,0.553931,584,0.614726,3.098361,0.704918,308,276,4.622951,2.004278
frozen,48,9600303321897551083,40,58,22,1088.865479,165.625000,18,12,0,18,17.345333,39,2131,0.677616,547,0.767824,1.677419,0.580645,273,274,3.080645,1.881287
shifting,48,13773418435292641950,0,8,12,291.855957,52.125000,12,36,30,18,12.677667,39,532,0.629699,161,0.714286,2.750000,0.833333,78,83,3.833333,2.112741
shifting-mature,48,6547922820889870492,38,62,28,842.061218,244.250000,6,29,29,18,11.260000,39,1929,0.532919,681,0.571219,3.242424,0.954545,355,326,4.696970,1.892370
shifting-8founders,48,5119825624492483823,33,72,47,858.326111,279.000000,3,23,26,18,9.446167,39,2090,0.563158,750,0.666667,2.587500,0.762500,399,351,3.975000,1.951727
frozen,49,665728324645959607,40,60,24,1126.765869,258.062500,18,12,0,18,17.415333,19,1819,0.476636,700,0.632857,2.625000,0.796875,352,348,4.000000,1.593101
shifting,49,8582289532238714960,21,45,28,720.863220,217.062500,7,30,29,18,11.276833,19,1557,0.476557,612,0.566993,4.020408,0.918367,313,299,6.122449,1.821151
shifting-mature,49,15600927699659326434,26,40,18,618.124817,191.375000,7,30,29,18,11.276833,19,1242,0.479066,488,0.520492,3.909091,0.931818,249,239,5.863636,1.865051
shifting-8founders,49,13491173221451448355,0,33,41,420.758759,185.375000,4,25,27,18,9.689667,19,1142,0.566550,400,0.615000,3.146341,0.951220,205,195,4.463415,1.819449
frozen,50,17993540617228305102,0,9,13,254.675247,51.125000,18,12,0,18,17.355333,19,753,0.726428,181,0.801105,2.769231,0.846154,88,93,4.153846,2.300482
shifting,50,11940615502344385549,36,47,15,563.407471,155.625000,9,32,29,18,11.327167,19,1442,0.618585,416,0.656250,2.176471,0.666667,218,198,3.627451,1.748288
shifting-mature,50,3375651408155920085,0,3,7,116.664787,20.812500,12,35,29,18,11.887667,19,294,0.704082,76,0.828947,1.857143,0.571429,35,41,3.142857,2.289280
shifting-8founders,50,4652133544467405625,0,37,45,403.359436,163.562500,7,26,25,18,9.406833,19,1068,0.580524,351,0.618234,2.444444,0.866667,187,164,3.711111,1.659510
