build,arm,seed,hash,final_population,births,deaths,plant_count,plant_births,highest_plant_generation,mean_growth,mean_seed_investment,mean_dispersal,mean_resilience,mean_seed_production,mean_nutrition,mean_defense
fixed-9763374,calibration-contest,55,886765689296841719,48,149,113,23,175,12,0.540306,0.421679,0.527297,0.534904,0.464890,0.657565,0.256889
fixed-9763374,calibration-competition,56,5398343464924391308,48,146,110,22,211,18,0.571275,0.503201,0.681844,0.489038,0.483762,0.533134,0.378197
fixed-9763374,calibration-contest,56,9706677894511047698,48,149,113,24,161,13,0.513834,0.534581,0.583693,0.555048,0.479993,0.707557,0.239776
fixed-9763374,calibration-competition,57,15740244923268244516,48,143,107,23,197,13,0.591410,0.515047,0.569874,0.460933,0.499027,0.586195,0.201144
fixed-9763374,calibration-contest,57,9694625945016692056,48,146,110,24,188,14,0.498696,0.619817,0.539642,0.545594,0.525659,0.618405,0.092947
fixed-9763374,calibration-competition,58,15339053828950626165,48,142,106,24,213,13,0.558292,0.597176,0.535880,0.442873,0.488494,0.733897,0.250947
fixed-9763374,calibration-contest,58,6619917150962960309,48,137,101,22,175,15,0.528109,0.511037,0.514460,0.426085,0.528445,0.659962,0.254686
fixed-9763374,calibration-competition,59,9803312562745337180,48,139,103,24,209,16,0.473049,0.495439,0.536013,0.535744,0.484438,0.718911,0.228911
fixed-9763374,calibration-contest,59,5091307488248031899,48,142,106,20,172,13,0.557805,0.555649,0.499340,0.555298,0.520762,0.697803,0.305850
fixed-9763374,calibration-competition,60,16577817176585566087,48,143,107,24,204,14,0.487759,0.461854,0.522874,0.523257,0.577309,0.667283,0.164070
fixed-9763374,calibration-contest,60,13218843726618608736,48,146,110,23,185,15,0.524815,0.534514,0.498997,0.439613,0.504852,0.741110,0.281519
fixed-9763374,calibration-competition,61,15609847894425333843,48,130,94,23,202,17,0.518425,0.551481,0.509895,0.599778,0.343587,0.714624,0.266992
fixed-9763374,calibration-contest,61,5174795109229535496,48,131,95,22,182,13,0.436333,0.463215,0.585718,0.438748,0.527810,0.616083,0.292622
fixed-9763374,calibration-competition,62,555596135564365523,48,144,108,23,211,16,0.555929,0.493091,0.555107,0.542990,0.478349,0.683593,0.245867
fixed-9763374,calibration-contest,62,2751932069331957214,47,145,110,22,182,13,0.514059,0.507456,0.575399,0.445589,0.526686,0.582150,0.156444
